Директор,Блохоедов,Кузьма,Мартович
Бухгалтер,Нестеров,Амур,Сильвесторович,0.95
Секретарь,Сидорова,Рузалия,Галлимулловна,0.7
Водитель,Антипов,Алексей,Сергеевич,0.8
Электрик,Ивахненков,Рустам,Милонович,0.6
Водитель,Смирнов,Евгений,Алексеевич,0.85
Водитель,Кузнецов,Игорь,Петрович,0.76
Водитель,Петров,Николай,Иванович,0.89
Водитель,Иванов,Олег,Дмитриевич,0.82
Водитель,Соколов,Андрей,Сергеевич,0.78
Водитель,Лебедев,Павел,Александрович,0.9
Водитель,Новиков,Сергей,Григорьевич,0.81
Водитель,Морозов,Виктор,Владимирович,0.74
Водитель,Попов,Александр,Игоревич,0.83
Водитель,Васильев,Денис,Николаевич,0.88
Водитель,Зайцев,Георгий,Павлович,0.79
Водитель,Соловьев,Максим,Андреевич,0.86
Водитель,Волков,Дмитрий,Семенович,0.75
Водитель,Медведев,Артур,Олегович,0.84
Водитель,Крылов,Константин,Валерьевич,0.8
Электрик,Федоров,Михаил,Игоревич,0.62
Электрик,Орлов,Евгений,Николаевич,0.69
Электрик,Гусев,Илья,Петрович,0.7
Электрик,Киселев,Семен,Александрович,0.65
Электрик,Макаров,Владимир,Григорьевич,0.73
Электрик,Андреев,Алексей,Дмитриевич,0.68
Электрик,Ковалев,Иван,Викторович,0.6
Электрик,Ильин,Дмитрий,Сергеевич,0.64
Электрик,Громов,Петр,Михайлович,0.72
Электрик,Мельников,Никита,Валерьевич,0.67
Электрик,Григорьев,Антон,Олегович,0.61
Электрик,Лазарев,Егор,Павлович,0.66
Электрик,Мартынов,Борис,Георгиевич,0.7
Электрик,Лебедев,Станислав,Николаевич,0.63
Электрик,Климов,Виктор,Андреевич,0.71
